Film	Text	FRA	ENG	GER	SPA	DUT	SWE	ITA	POR	ROM	POL	SLO	CZE	RUS	BUL	EST	FIN	HUN	NOR
Amelie	I had my nasal cavities fixed. 	faire	have	lassen	NA	NA	NA	fare	NA	NA	NA	dati	dat	NA	NA	NA	NA	NA	NA
Amelie	Take two regulars, _mix_ them together and let them stew .	faire	NA	lassen	hacer	NA	NA	fare	NA	face	NA	NA	NA	NA	NA	panema	NA	NA	la
Amelie	Take two regulars, mix them together and _let_ them stew .	laisser	let	lassen	dejar	laten	lata	fare	NA	NA	NA	NA	nechat	NA	ostavjam	laskma	antaa	hagy	la
Amelie	The thrill of this rare contact makes her heart beat like a drum.	NA	make	lassen	NA	doen	fa	NA	NA	NA	NA	NA	NA	NA	karam	NA	saada	NA	fa
Amelie	When a girl has her photo taken...	faire	have	lassen	NA	laten	NA	NA	NA	NA	NA	NA	NA	NA	NA	laskma	NA	NA	fa
Amelie	If you let this chance go by...	laisser	let	lassen	dejar	laten	lata	lasciare	deixar	NA	NA	NA	nechat	NA	NA	laskma	NA	hagy	la
Amelie	As she went, she felt a stab of regret for letting her father die.	laisser	let	lassen	dejar	laten	lata	lasciare	deixar	lasa	pozwolic	pustiti	nechat	davat	ostavjam	laskma	antaa	hagy	la
Amelie	At barely 23, Amelie Poulain let her young, tired body merge...	laisser	let	NA	NA	laten	lata	NA	deixar	NA	NA	NA	NA	NA	ostavjam	laskma	antaa	hagy	la
Amelie	Think about it.	laisser	NA	lassen	dejar	NA	NA	lasciare	NA	lasa	NA	pustiti	nechat	NA	NA	NA	NA	NA	la
Amelie	At that moment, on a restaurant terrace nearby the wind magically made two glasses dance unseen on a tablecloth .	faire	make	lassen	hacer	doen	NA	fare	fazer	face	NA	NA	NA	NA	karam	panema	NA	NA	NA
Avatar	Let's go special case, do not make me wait for you.	faire	make	NA	NA	laten	NA	fare	NA	face	NA	pustiti	NA	NA	karam	panema	NA	NA	la
Avatar 	Let me try to talk them out.	laisser	let	lassen	dejar	laten	lata	lasciare	deixar	lasa	pozwolic	NA	nechat	NA	NA	NA	antaa	NA	la
Avatar 	They got steak? Bullshit, let me see that.	laisser	let	lassen	dejar	laten	NA	fare	deixar	lasa	NA	dati	NA	NA	NA	NA	NA	NA	la
Avatar	Who gets them to move?	faire	get	bringen	hacer	laten	fa	NA	NA	face	NA	NA	prinutit	NA	NA	sundima	NA	NA	fa
Avatar 	Just keep your mouth shut and let Norm do the talking.	laisser	let	NA	NA	laten	lata	lasciare	NA	lasa	NA	pustiti	NA	NA	NA	NA	antaa	NA	la
Avatar 	Why not let them just kill my ass?	laisser	let	NA	NA	laten	lata	NA	deixar	lasa	pozwolic	pustiti	nechatby	pozvoljat	ostavjam	laskma	antaa	NA	la
Avatar 	He's not gonna let you near that place.	laisser	NA	NA	NA	laten	lata	fare	NA	lasa	pozwolic	NA	NA	NA	NA	NA	NA	NA	la
Avatar 	I'm not about to let Selfridge and Quaritch micromanage this thing.	laisser	let	NA	NA	NA	lata	permettere	deixar	NA	pozwolic	NA	nechat	pozwoljat	ostavjam	laskma	antaa	NA	la
Avatar	So just find me a carrot that will get them to move.	faire	get	NA	hacer	NA	fa	NA	fazer	face	NA	NA	NA	NA	NA	panema	NA	NA	fa
Avatar	You get them to evacuate.	faire	get	NA	NA	NA	NA	costringere	NA	convinge	NA	NA	NA	NA	NA	sundima	NA	NA	fa
Avatar	Don't make me force-feed a cripple.	forcer	make	NA	obligar	NA	tvinga	costringere	forcar	face	NA	siliti	NA	zastavljat	ostavjam	sundima	panna	NA	fa
