Language	Filename	Relationships	Speaker_ID	Text	Gloss	Translation	Word_Order	Position_LexVerb	Wordform_A	Wordform_P	Gloss_A	Gloss_P	Case_A	Case_P	Person_A	Person_P	Semantics_A	Semantics_P	Structure_A	Structure_P	Length_A_Syl	Length_P_Syl	Length_A_Words	Length_P_Words	DiscourseStatus_A	DiscourseStatus_P	SituationStatus_A	SituationStatus_P	Verb_Lemma	Semantics_Verb	Tense_Aspect	Utterance_Type	Clause	Formal_Ambiguity	Ditransitive	Idiomatic	FirstArg_Role	FirstArg_Discourse	FirstArg_Situation	Exclude
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00414	wir hatten als wir in Griechenland waren alle drei einen Fotoapparat mit	we.NOM.PL have-PL when we.NOM.PL in Greece are-PL all.NOM.PL three.NOM a-ACC camera.ACC.SG with	when we were in Greece, all three of us brought a camera	A1V1A2PV2	Middle	wir alle drei	einen Fotoapparat	we.NOM.PL all.NOM.PL three.NOM	a-ACC camera.ACC.SG	A_only	P_only	1	3	human	inanimate	Pronoun	NP	4	7	3	2	Inferable_far	Mentioned_far	Inferable_salient	Absent_familiar	mithaben	noncausal	Past	declarative	main	Unambiguous	No	No	A	Less_Accessible	More_Accessible	No
German	FR_E_00030	StudyColleagues	FR_S_00088	dass der Mensch so eine Krücke braucht auf die er sich stützen kann	that the.NOM.SG human.being.NOM.SG such a.ACC crutch.ACC need-SG CLAUSE	that people need such a resource to lean on	AP1VP2	Final	der Mensch	so eine Krücke auf die er sich stützen kann	the.NOM.SG human.being.NOM.SG	such a.ACC crutch.ACC need-SG on the.ACC.SG he.NOM.SG himself.ACC.SG support can-SG	A_only	Ambiguous	3	3	human	inanimate	NP	NP	2	12	2	9	Mentioned_close	Inferable_close	Inferable_salient	Absent_familiar	brauchen	noncausal	Present	declarative	subordinate	Unambiguous	No	Yes	A	More_Accessible	More_Accessible	No
German	FOLK_E_00026	Colleagues	FOLK_S_00046	wenn sie das Gefühl hat das ist so gemeint	if she.NOM.SG the.ACC.SG feeling.ACC.SG have.SG that.NOM.SG is so mean	if she has the feeling that it is meant this way	AP1VP2	Final	sie	das Gefühl das ist so gemeint	she.NOM/ACC	the.ACC/NOM.SG feeling.ACC/NOM.SG that.NOM.SG is so mean	Ambiguous	Ambiguous	3	3	human	inanimate	Pronoun	Clause	1	8	1	6	Mentioned_close	New_unfamiliar	Absent_familiar	Absent_familiar	haben	noncausal	Present	declarative	main	Unambiguous	No	No	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00021	Friends	FOLK_S_00043	also dass ihr hier privat euch die Spieler zuschustert	well that you.NOM.PL here privately you.DAT.PL the.ACC.PL player.ACC.PL shuffle.off.onto	well, that you covertly pass the players on the one another	APV	Final	ihr	die Spieler	you.NOM.PL	the.ACC.PL/NOM.PL/ACC.SG/NOM.SG player.ACC.PL/NOM.PL/ACC.SG/NOM.SG	A_only	Ambiguous	2	3	human	human	Pronoun	NP	1	3	1	2	Mentioned_close	Inferable_far	Present_salient	Inferable_salient	zuschustern	noncausal	Present	declarative	subordinate	Unambiguous	Yes	Yes	A	More_Accessible	More_Accessible	No
German	FR_E_00030	StudyColleagues	FR_S_00120	dass die christlichen Begriffe unsere Ehe bis heute prägen	that the.NOM.PL Christian-NOM.PL idea.NOM/ACC-PL our-ACC.SG marriage.ACC.SG until today shape	that Christian conceptions shape our idea of marriage until today	APV	Final	die christlichen Begriffe	unsere Ehe	the.NOM/ACC.PL Christian-NOM/ACC.PL idea.NOM/ACC-PL	our-ACC/NOM.SG marriage.ACC/NOM.SG	Ambiguous	Ambiguous	3	3	inanimate	inanimate	NP	NP	6	5	3	2	Inferable_far	Mentioned_far	Absent_familiar	Absent_familiar	prägen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	Less_Accessible	Same_Accessibility	No
German	FR_E_00030	StudyColleagues	FR_S_00120	dass die Vorstellung vielleicht der Ehe neue Gestalt annimmt	that the.NOM.SG idea.NOM.SG maybe the.GEN.SG marriage.GEN.SG new-ACC.SG shape.ACC.SG adapt-SG	that the idea of marriage is changing	APV	Final	die Vorstellung der Ehe	neue Gestalt	the.NOM/ACC.SG idea.NOM/ACC.SG the.GEN.SG marriage.GEN.SG	new-ACC/NOM.SG shape-ACC/NOM.SG	Ambiguous	Ambiguous	3	3	inanimate	inanimate	NP	NP	7	4	4	2	Inferable_close	New_familiar	Inferable_salient	Absent_familiar	annehmen	causal	Present	declarative	subordinate	Unambiguous	No	Yes	A	More_Accessible	More_Accessible	No
German	FOLK_E_00026	Colleagues	FOLK_S_00049	dass die wieder 'ne Körperwahrnehmung kriegen	that they.NOM.PL again a.ACC physical.awareness.ACC get-PL	so that they regain awareness of their body	APV	Final	die	ne Körperwahrnehmung	they.NOM/ACC	a.ACC/NOM body.awareness.ACC/NOM.SG	Ambiguous	Ambiguous	3	3	human	inanimate	Determiner	NP	1	6	1	2	Mentioned_far	New_familiar	Absent_familiar	Present_nonsalient	kriegen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	Less_Accessible	No
German	FOLK_E_00026	Colleagues	FOLK_S_00049	dass du was erwartest	that you.NOM.SG something.ACC expect.SG	that you expect something	APV	Final	du	was	you.NOM.SG	something.ACC/NOM	A_only	Ambiguous	2	3	human	inanimate	Pronoun	Pronoun	1	1	1	1	Mentioned_far	Mentioned_far	Absent_familiar	Present_nonsalient	erwarten	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	Same_Accessibility	Less_Accessible	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00412	dass er also 'n gutes Wort für uns einlegt	that he.NOM.SG so a.ACC good-ACC.SG word.ACC.SG for we.ACC.PL insert-SG	that he puts in a good work for us	APV	Final	er	n gutes Wort	he.NOM.SG	n.ACC/NOM good-ACC/NOM.SG word.ACC/NOM.SG	A_only	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	4	1	3	Mentioned_far	New_familiar	Absent_familiar	Absent_familiar	einlegen	noncausal	Present	declarative	subordinate	Unambiguous	No	Yes	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00026	Colleagues	FOLK_S_00048	dass er manches nich' versteht	that he.NOM.SG some.things.ACC.SG not comprehend.SG	that he does not comprehend some things	APV	Final	er	manches	he.NOM.SG	some.things.ACC/NOM.SG	A_only	Ambiguous	3	3	human	inanimate	Pronoun	Determiner	1	3	1	1	Mentioned_close	Non-referential	Absent_familiar	Non-referential	verstehen	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	No_Comparison	No_Comparison	No
German	FOLK_E_00027	Couple	FOLK_S_00182	dass ich das nicht so mag	that I.NOM.SG that.ACC.SG not so like	that I don't like that very much	APV	Final	ich	das	I.NOM.SG	that.ACC/NOM.SG	A_only	Ambiguous	1	3	human	inanimate	Pronoun	Determiner	1	1	1	1	Mentioned_far	Mentioned_far	Present_salient	Present_salient	mögen	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	Same_Accessibility	Same_Accessibility	No
German	FR_E_00030	StudyColleagues	FR_S_00088	dass man entweder überhaupt keine Ehe mehr schließt	that one.NOM either at.all no-ACC.SG marriage.ACC.SG further close-SG	that you either no longer marry at all	APV	Final	man	keine Ehe	one.NOM	no.ACC/NOM.SG marriage.ACC/NOM.SG	A_only	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	4	1	2	Non-referential	Mentioned_close	Non-referential	Absent_familiar	schließen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	No_Comparison	No_Comparison	No
German	FOLK_E_00021	Friends	FOLK_S_00042	dass man im Nachhinein noch irgendwelche Additionsfehler merkt	that one.NOM in retrospect still any.ACC addition.error.ACC.PL notice-SG	that one still notices addition errors in retrospect	APV	Final	man	irgendwelche Additionsfehler	one.NOM	any.ACC/NOM addition.error.ACC/NOM	A_only	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	10	1	2	Non-referential	Inferable_far	Non-referential	Inferable_salient	merken	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	No_Comparison	No_Comparison	No
